sentence	aspect	polarity
This computer is absolutely AMAZING!!!	laptop general	positive
10 plus hours of battery...	battery operation performance	positive
super fast processor and really nice graphics card..	cpu operation performance	positive
super fast processor and really nice graphics card..	graphics general	positive
and plenty of storage with 250 gb(though I will upgrade this and the ram..)	hard disc design features	positive
This computer is really fast and I'm shocked as to how easy it is to get used to...	laptop operation performance	positive
This computer is really fast and I'm shocked as to how easy it is to get used to...	laptop usability	positive
I've only had mine a day but I'm already used to it...	laptop usability	positive
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!	cpu operation performance	positive
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!	laptop portability	positive
the laptop was really good and it goes really fast just the way i thought it would of run.	laptop general	positive
the laptop was really good and it goes really fast just the way i thought it would of run.	laptop operation performance	positive
i would really recommend to any person out there to get this laptop cause its really worth it.	laptop general	positive
and its really cheap and you wont regret buying it.	laptop general	positive
and its really cheap and you wont regret buying it.	laptop price	positive
As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;	laptop portability	positive
As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;	laptop quality	positive
As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;	laptop usability	positive
without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.	laptop design features	positive
without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.	laptop miscellaneous	positive
without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.	laptop portability	positive
I highly recommend this computer for students looking for a solid machine to get them through college.	laptop miscellaneous	positive
I highly recommend this computer for students looking for a solid machine to get them through college.	laptop quality	positive
A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.	os design features	positive
Oh my goodness-I am not a happy camper.	laptop general	negative
My HP is very heavy.	laptop design features	negative
Not easy to carry.	laptop portability	negative
The battery has never worked well.	battery operation performance	negative
The battery has never worked well.	battery quality	negative
The battery gets so HOT it is scary.	battery quality	negative
Yet, HP won't do anything about the problem.	support quality	negative
I returned the computer to HP and they kept it for 3 months.	support quality	negative
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.	support quality	negative
So, you can imagine how unhappy I am with this item.	laptop general	negative
Currently if I use the laptop I can't sit it on my lap because it will burn my legs.	laptop quality	negative
Well, they don't care a bunch.	support quality	negative
But, at the same time they (the company) would not and could not do anything about my problem.	support quality	negative
I would ?say if you want to buy one of these machines be careful.	laptop general	negative
And, if you are going to deal with HP be careful.	company general	negative
In my house, HP is a nasty word.	company general	negative
Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.	laptop general	positive
